cliente,total_gasto,segmento
Cliente_022,152540.0,Ouro
Cliente_004,143840.0,Ouro
Cliente_026,130880.0,Ouro
Cliente_030,129450.0,Ouro
Cliente_023,122850.0,Ouro
Cliente_003,115470.0,Ouro
Cliente_007,112380.0,Ouro
Cliente_017,109650.0,Ouro
Cliente_029,105900.0,Ouro
Cliente_014,97250.0,Ouro
Cliente_005,95400.0,Ouro
Cliente_019,92030.0,Ouro
Cliente_013,87540.0,Ouro
Cliente_018,85510.0,Ouro
Cliente_025,84160.0,Ouro
Cliente_016,82420.0,Ouro
Cliente_015,81860.0,Ouro
Cliente_010,80430.0,Ouro
Cliente_020,77220.0,Ouro
Cliente_001,76080.0,Ouro
Cliente_028,74830.0,Ouro
Cliente_027,70430.0,Ouro
Cliente_009,66490.0,Ouro
Cliente_002,66480.0,Ouro
Cliente_021,59650.0,Ouro
Cliente_011,56110.0,Ouro
Cliente_024,39990.0,Ouro
Cliente_008,36580.0,Ouro
Cliente_006,35750.0,Ouro
Cliente_012,26390.0,Ouro
